transaction_date,total_orders,total_revenue,avg_delivery_minutes,coupon_burn,delayed_orders,revenue_7day_avg,delivery_7day_avg,orders_7day_avg,revenue_anomaly,delivery_delay_anomaly,orders_anomaly
2024-12-27,191,44850,35.455497382198956,2165,60,,,,0,0,0
2024-12-28,428,101614,34.28971962616822,4062,112,,,,0,0,0
2024-12-29,433,99182,33.1824480369515,4495,105,,,,0,0,0
2024-12-30,456,102824,34.92982456140351,3584,141,,,,0,0,0
2024-12-31,398,91173,34.19346733668342,4005,109,,,,0,0,0
2025-01-01,423,96986,34.52482269503546,3488,121,,,,0,0,0
2025-01-02,447,96823,33.541387024608504,3426,114,90493.14285714286,34.30245238043565,396.57142857142856,0,0,0
2025-01-03,412,93428,34.679611650485434,5650,122,97432.85714285714,34.19161156161943,428.14285714285717,0,0,0
2025-01-04,436,95987,34.49770642201835,2912,129,96629.0,34.22132396102659,429.2857142857143,0,0,0
2025-01-05,474,106556,34.28270042194093,4328,127,97682.42857142857,34.37850287316794,435.14285714285717,0,0,0
2025-01-06,427,90801,33.19906323185012,2886,105,95964.85714285714,34.13125125466031,431.0,0,0,0
2025-01-07,477,99098,34.9643605870021,4879,140,97097.0,34.2413788618487,442.2857142857143,0,0,0
2025-01-08,463,106104,34.44060475161987,3578,129,98399.57142857143,34.229347727075044,448.0,0,0,0
2025-01-09,457,103441,34.68052516411379,4514,132,99345.0,34.39208174700437,449.42857142857144,0,0,0
2025-01-10,402,90149,33.78109452736319,3706,111,98876.57142857143,34.263722157986905,448.0,0,0,0
2025-01-11,444,100761,34.1463963963964,3537,126,99558.57142857143,34.21353501146949,449.14285714285717,0,0,0
2025-01-12,406,87981,33.62315270935961,3805,120,96905.0,34.11931390967215,439.42857142857144,0,0,0
2025-01-13,450,95331,34.48222222222222,4486,130,97552.14285714286,34.30262233686817,442.7142857142857,0,0,0
2025-01-14,462,105285,34.56277056277056,4898,138,98436.0,34.24525233340652,440.57142857142856,0,0,0
2025-01-15,447,95775,33.993288590604024,3551,127,96960.42857142857,34.18135002468997,438.2857142857143,0,0,0
2025-01-16,426,93299,33.80046948356807,3671,111,95511.57142857143,34.05562778461201,433.85714285714283,0,0,0
2025-01-17,454,105985,34.158590308370044,3502,135,97773.85714285714,34.10955575332728,441.2857142857143,0,0,0
2025-01-18,417,95425,34.34052757793765,2261,115,97011.57142857143,34.13728877926174,437.42857142857144,0,0,0
2025-01-19,442,96450,33.65610859728507,4184,112,98221.42857142857,34.14199676325109,442.57142857142856,0,0,0
2025-01-20,418,98252,34.21052631578947,3815,113,98638.71428571429,34.10318306233213,438.0,0,0,0
2025-01-21,430,93701,34.72558139534884,3604,133,96983.85714285714,34.12644175270045,433.42857142857144,0,0,0
2025-01-22,461,103970,34.353579175704986,4667,133,98154.57142857143,34.177911836286306,435.42857142857144,0,0,0
2025-01-23,440,104108,34.252272727272725,4297,123,99698.71428571429,34.24245515681554,437.42857142857144,0,0,0
2025-01-24,449,103994,34.39643652561247,3922,128,99414.28571428571,34.276433187850174,436.7142857142857,0,0,0
2025-01-25,415,86533,34.727710843373494,3633,127,98144.0,34.331745082912434,436.42857142857144,0,0,0
2025-01-26,482,106001,33.03941908713693,4699,126,99508.42857142857,34.243646581462706,442.14285714285717,0,0,0
2025-01-27,414,93507,34.53623188405797,3366,127,98830.57142857143,34.290175948358204,441.57142857142856,0,0,0
2025-01-28,437,96498,33.192219679633865,3361,111,99230.14285714286,34.071124274684635,442.57142857142856,0,0,0
2025-01-29,435,91669,34.08735632183908,3453,118,97472.85714285714,34.03309243841808,438.85714285714283,0,0,0
2025-01-30,433,91155,34.50115473441109,3073,117,95622.42857142857,34.068647010866414,437.85714285714283,0,0,0
2025-01-31,426,94641,34.7112676056338,2852,130,94286.28571428571,34.11362287944089,434.57142857142856,0,0,0
2025-02-01,445,98831,34.492134831460675,4236,133,96043.14285714286,34.07996916345335,438.85714285714283,0,0,0
2025-02-02,434,99126,34.39861751152074,2360,124,95061.0,34.27414036693675,432.0,0,0,0
2025-02-03,414,93471,35.09903381642512,2665,132,95055.85714285714,34.35454064298919,432.0,0,0,0
2025-02-04,444,99596,34.112612612612615,2701,116,95498.42857142857,34.48602534770045,433.0,0,0,0
2025-02-05,438,94486,34.23972602739726,2831,119,95900.85714285714,34.50779244849447,433.42857142857144,0,0,0
2025-02-06,447,98903,34.12527964205817,4038,132,97007.71428571429,34.45409600672977,435.42857142857144,0,0,0
2025-02-07,450,98190,34.19555555555556,3923,128,97514.71428571429,34.38042285671859,438.85714285714283,0,0,0
2025-02-08,430,90116,34.509302325581395,3492,127,96269.71428571429,34.38287535587869,436.7142857142857,0,0,0
2025-02-09,435,98366,34.15632183908046,4194,114,96161.14285714286,34.34826168838723,436.85714285714283,0,0,0
2025-02-10,454,105366,34.49559471365639,4424,134,97860.42857142857,34.262056102277406,442.57142857142856,0,0,0
2025-02-11,476,104956,33.529411764705884,4082,122,98626.14285714286,34.17874169543359,447.14285714285717,0,0,0
2025-02-12,393,88969,33.979643765903305,2926,106,97838.0,34.141587086648734,440.7142857142857,0,0,0
2025-02-13,429,98501,34.235431235431236,2858,124,97780.57142857143,34.157323028559176,438.14285714285717,0,0,0
